AsActive(cross1_fps) X,AsActive(cross1_fps) Y,BActive(cross1_fps) X,BActive(cross1_fps) Y
2.302249,1.0090597e+10,2.302249,2.0314792e+15
2.420085,1.0090598e+10,2.420085,1.9100704e+15
2.54413,1.0090598e+10,2.54413,1.8680001e+15
2.67471,1.0090598e+10,2.67471,1.8547873e+15
2.81217,1.0090598e+10,2.81217,1.8510416e+15
2.956871,1.0090598e+10,2.956871,1.8500868e+15
3.109197,1.0090598e+10,3.109197,1.8498684e+15
3.269547,1.0090598e+10,3.269547,1.8498233e+15
3.438346,1.0090598e+10,3.438346,1.8498146e+15
3.616038,1.0090598e+10,3.616038,1.8498128e+15
3.803091,1.0090598e+10,3.803091,1.8498123e+15
4,1.0090598e+10,4,1.8498122e+15

