Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
511	 2.0000 V	 0 V	 2.5500 V	 0 V	 30.9140 uA	 3.091400000 uA/um
512	 2.0000 V	 0 V	 2.5550 V	 0 V	 30.9380 uA	 3.093800000 uA/um
513	 2.0000 V	 0 V	 2.5600 V	 0 V	 30.9210 uA	 3.092100000 uA/um
514	 2.0000 V	 0 V	 2.5650 V	 0 V	 30.9690 uA	 3.096900000 uA/um
515	 2.0000 V	 0 V	 2.5700 V	 0 V	 31.1580 uA	 3.115800000 uA/um
516	 2.0000 V	 0 V	 2.5750 V	 0 V	 31.1720 uA	 3.117200000 uA/um
517	 2.0000 V	 0 V	 2.5800 V	 0 V	 31.2200 uA	 3.122000000 uA/um
518	 2.0000 V	 0 V	 2.5850 V	 0 V	 31.3630 uA	 3.136300000 uA/um
519	 2.0000 V	 0 V	 2.5900 V	 0 V	 31.4150 uA	 3.141500000 uA/um
520	 2.0000 V	 0 V	 2.5950 V	 0 V	 31.4000 uA	 3.140000000 uA/um
521	 2.0000 V	 0 V	 2.6000 V	 0 V	 31.4970 uA	 3.149700000 uA/um
522	 2.0000 V	 0 V	 2.6050 V	 0 V	 31.6240 uA	 3.162400000 uA/um
523	 2.0000 V	 0 V	 2.6100 V	 0 V	 31.6580 uA	 3.165800000 uA/um
524	 2.0000 V	 0 V	 2.6150 V	 0 V	 31.6150 uA	 3.161500000 uA/um
