Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
23	 -3.9000 V	 0 V	 5.0000 V	 0 V	 10.5638 uA	 -2.446 pA	 105.6380000 nA/um	 -24.46000000 fA/um	 43.00000000 nS	 430.0000000 pS/um
24	 -3.8500 V	 0 V	 5.0000 V	 0 V	 10.5637 uA	 -2.448 pA	 105.6370000 nA/um	 -24.48000000 fA/um	 20.00000000 nS	 200.0000000 pS/um
25	 -3.8000 V	 0 V	 5.0000 V	 0 V	 10.5658 uA	 -2.365 pA	 105.6580000 nA/um	 -23.65000000 fA/um	 97.00000000 nS	 970.0000000 pS/um
26	 -3.7500 V	 0 V	 5.0000 V	 0 V	 10.5734 uA	 -2.256 pA	 105.7340000 nA/um	 -22.56000000 fA/um	 60.00000000 nS	 600.0000000 pS/um
27	 -3.7000 V	 0 V	 5.0000 V	 0 V	 10.5718 uA	 -2.388 pA	 105.7180000 nA/um	 -23.88000000 fA/um	 -36.00000000 nS	 -360.0000000 pS/um
28	 -3.6500 V	 0 V	 5.0000 V	 0 V	 10.5698 uA	 -2.435 pA	 105.6980000 nA/um	 -24.35000000 fA/um	 72.00000000 nS	 720.0000000 pS/um
29	 -3.6000 V	 0 V	 5.0000 V	 0 V	 10.5790 uA	 -2.618 pA	 105.7900000 nA/um	 -26.18000000 fA/um	 47.00000000 nS	 470.0000000 pS/um
30	 -3.5500 V	 0 V	 5.0000 V	 0 V	 10.5745 uA	 -2.346 pA	 105.7450000 nA/um	 -23.46000000 fA/um	 -54.00000000 nS	 -540.0000000 pS/um
31	 -3.5000 V	 0 V	 5.0000 V	 0 V	 10.5736 uA	 -2.407 pA	 105.7360000 nA/um	 -24.07000000 fA/um	 -143.0000000 nS	 -1.430000000 nS/um
32	 -3.4500 V	 0 V	 5.0000 V	 0 V	 10.5602 uA	 -2.361 pA	 105.6020000 nA/um	 -23.61000000 fA/um	 -64.00000000 nS	 -640.0000000 pS/um
33	 -3.4000 V	 0 V	 5.0000 V	 0 V	 10.5672 uA	 -2.286 pA	 105.6720000 nA/um	 -22.86000000 fA/um	 166.0000000 nS	 1.660000000 nS/um
34	 -3.3500 V	 0 V	 5.0000 V	 0 V	 10.5768 uA	 -2.326 pA	 105.7680000 nA/um	 -23.26000000 fA/um	 119.0000000 nS	 1.190000000 nS/um
35	 -3.3000 V	 0 V	 5.0000 V	 0 V	 10.5791 uA	 -2.431 pA	 105.7910000 nA/um	 -24.31000000 fA/um	 -109.0000000 nS	 -1.090000000 nS/um
36	 -3.2500 V	 0 V	 5.0000 V	 0 V	 10.5659 uA	 -2.146 pA	 105.6590000 nA/um	 -21.46000000 fA/um	 -61.00000000 nS	 -610.0000000 pS/um
37	 -3.2000 V	 0 V	 5.0000 V	 0 V	 10.5730 uA	 -2.345 pA	 105.7300000 nA/um	 -23.45000000 fA/um	 45.00000000 nS	 450.0000000 pS/um
38	 -3.1500 V	 0 V	 5.0000 V	 0 V	 10.5704 uA	 -2.242 pA	 105.7040000 nA/um	 -22.42000000 fA/um	 -82.00000000 nS	 -820.0000000 pS/um
39	 -3.1000 V	 0 V	 5.0000 V	 0 V	 10.5648 uA	 -2.449 pA	 105.6480000 nA/um	 -24.49000000 fA/um	 -96.00000000 nS	 -960.0000000 pS/um
40	 -3.0500 V	 0 V	 5.0000 V	 0 V	 10.5608 uA	 -2.360 pA	 105.6080000 nA/um	 -23.60000000 fA/um	 3.000000000 nS	 30.00000000 pS/um
41	 -3.0000 V	 0 V	 5.0000 V	 0 V	 10.5651 uA	 -2.362 pA	 105.6510000 nA/um	 -23.62000000 fA/um	 72.00000000 nS	 720.0000000 pS/um
42	 -2.9500 V	 0 V	 5.0000 V	 0 V	 10.5680 uA	 -2.385 pA	 105.6800000 nA/um	 -23.85000000 fA/um	 -22.00000000 nS	 -220.0000000 pS/um
43	 -2.9000 V	 0 V	 5.0000 V	 0 V	 10.5629 uA	 -2.328 pA	 105.6290000 nA/um	 -23.28000000 fA/um	 12.00000000 nS	 120.0000000 pS/um
44	 -2.8500 V	 0 V	 5.0000 V	 0 V	 10.5692 uA	 -2.275 pA	 105.6920000 nA/um	 -22.75000000 fA/um	 81.00000000 nS	 810.0000000 pS/um
45	 -2.8000 V	 0 V	 5.0000 V	 0 V	 10.5710 uA	 -2.286 pA	 105.7100000 nA/um	 -22.86000000 fA/um	 9.000000000 nS	 90.00000000 pS/um
46	 -2.7500 V	 0 V	 5.0000 V	 0 V	 10.5701 uA	 -2.317 pA	 105.7010000 nA/um	 -23.17000000 fA/um	 19.00000000 nS	 190.0000000 pS/um
47	 -2.7000 V	 0 V	 5.0000 V	 0 V	 10.5729 uA	 -2.259 pA	 105.7290000 nA/um	 -22.59000000 fA/um	 -58.00000000 nS	 -580.0000000 pS/um
48	 -2.6500 V	 0 V	 5.0000 V	 0 V	 10.5643 uA	 -2.429 pA	 105.6430000 nA/um	 -24.29000000 fA/um	 -41.00000000 nS	 -410.0000000 pS/um
49	 -2.6000 V	 0 V	 5.0000 V	 0 V	 10.5688 uA	 -2.408 pA	 105.6880000 nA/um	 -24.08000000 fA/um	 65.00000000 nS	 650.0000000 pS/um
50	 -2.5500 V	 0 V	 5.0000 V	 0 V	 10.5708 uA	 -2.412 pA	 105.7080000 nA/um	 -24.12000000 fA/um	 -40.00000000 nS	 -400.0000000 pS/um
51	 -2.5000 V	 0 V	 5.0000 V	 0 V	 10.5648 uA	 -2.359 pA	 105.6480000 nA/um	 -23.59000000 fA/um	 -33.00000000 nS	 -330.0000000 pS/um
52	 -2.4500 V	 0 V	 5.0000 V	 0 V	 10.5675 uA	 -2.387 pA	 105.6750000 nA/um	 -23.87000000 fA/um	 117.0000000 nS	 1.170000000 nS/um
53	 -2.4000 V	 0 V	 5.0000 V	 0 V	 10.5765 uA	 -2.334 pA	 105.7650000 nA/um	 -23.34000000 fA/um	 3.000000000 nS	 30.00000000 pS/um
54	 -2.3500 V	 0 V	 5.0000 V	 0 V	 10.5678 uA	 -2.413 pA	 105.6780000 nA/um	 -24.13000000 fA/um	 -35.00000000 nS	 -350.0000000 pS/um
55	 -2.3000 V	 0 V	 5.0000 V	 0 V	 10.5730 uA	 -2.460 pA	 105.7300000 nA/um	 -24.60000000 fA/um	 -59.00000000 nS	 -590.0000000 pS/um
56	 -2.2500 V	 0 V	 5.0000 V	 0 V	 10.5619 uA	 -2.371 pA	 105.6190000 nA/um	 -23.71000000 fA/um	 -69.00000000 nS	 -690.0000000 pS/um
57	 -2.2000 V	 0 V	 5.0000 V	 0 V	 10.5661 uA	 -2.371 pA	 105.6610000 nA/um	 -23.71000000 fA/um	 22.00000000 nS	 220.0000000 pS/um
58	 -2.1500 V	 0 V	 5.0000 V	 0 V	 10.5641 uA	 -2.375 pA	 105.6410000 nA/um	 -23.75000000 fA/um	 27.00000000 nS	 270.0000000 pS/um
59	 -2.1000 V	 0 V	 5.0000 V	 0 V	 10.5688 uA	 -2.406 pA	 105.6880000 nA/um	 -24.06000000 fA/um	 35.00000000 nS	 350.0000000 pS/um
60	 -2.0500 V	 0 V	 5.0000 V	 0 V	 10.5676 uA	 -2.301 pA	 105.6760000 nA/um	 -23.01000000 fA/um	 32.00000000 nS	 320.0000000 pS/um
61	 -2.0000 V	 0 V	 5.0000 V	 0 V	 10.5720 uA	 -2.396 pA	 105.7200000 nA/um	 -23.96000000 fA/um	 -32.00000000 nS	 -320.0000000 pS/um
62	 -1.9500 V	 0 V	 5.0000 V	 0 V	 10.5644 uA	 -2.355 pA	 105.6440000 nA/um	 -23.55000000 fA/um	 -85.00000000 nS	 -850.0000000 pS/um
63	 -1.9000 V	 0 V	 5.0000 V	 0 V	 10.5635 uA	 -2.431 pA	 105.6350000 nA/um	 -24.31000000 fA/um	 -7.000000000 nS	 -70.00000000 pS/um
64	 -1.8500 V	 0 V	 5.0000 V	 0 V	 10.5637 uA	 -2.302 pA	 105.6370000 nA/um	 -23.02000000 fA/um	 -118.0000000 nS	 -1.180000000 nS/um
65	 -1.8000 V	 0 V	 5.0000 V	 0 V	 10.5517 uA	 -2.241 pA	 105.5170000 nA/um	 -22.41000000 fA/um	 42.00000000 nS	 420.0000000 pS/um
66	 -1.7500 V	 0 V	 5.0000 V	 0 V	 10.5679 uA	 -2.285 pA	 105.6790000 nA/um	 -22.85000000 fA/um	 115.0000000 nS	 1.150000000 nS/um
67	 -1.7000 V	 0 V	 5.0000 V	 0 V	 10.5632 uA	 -2.167 pA	 105.6320000 nA/um	 -21.67000000 fA/um	 -54.00000000 nS	 -540.0000000 pS/um
68	 -1.6500 V	 0 V	 5.0000 V	 0 V	 10.5625 uA	 -2.311 pA	 105.6250000 nA/um	 -23.11000000 fA/um	 -65.00000000 nS	 -650.0000000 pS/um
69	 -1.6000 V	 0 V	 5.0000 V	 0 V	 10.5567 uA	 -2.215 pA	 105.5670000 nA/um	 -22.15000000 fA/um	 5.000000000 nS	 50.00000000 pS/um
70	 -1.5500 V	 0 V	 5.0000 V	 0 V	 10.5630 uA	 -2.210 pA	 105.6300000 nA/um	 -22.10000000 fA/um	 65.00000000 nS	 650.0000000 pS/um
71	 -1.5000 V	 0 V	 5.0000 V	 0 V	 10.5632 uA	 -2.120 pA	 105.6320000 nA/um	 -21.20000000 fA/um	 42.00000000 nS	 420.0000000 pS/um
72	 -1.4500 V	 0 V	 5.0000 V	 0 V	 10.5672 uA	 -2.249 pA	 105.6720000 nA/um	 -22.49000000 fA/um	 40.00000000 nS	 400.0000000 pS/um
73	 -1.4000 V	 0 V	 5.0000 V	 0 V	 10.5672 uA	 -2.162 pA	 105.6720000 nA/um	 -21.62000000 fA/um	 84.00000000 nS	 840.0000000 pS/um
74	 -1.3500 V	 0 V	 5.0000 V	 0 V	 10.5756 uA	 -2.162 pA	 105.7560000 nA/um	 -21.62000000 fA/um	 20.00000000 nS	 200.0000000 pS/um
75	 -1.3000 V	 0 V	 5.0000 V	 0 V	 10.5692 uA	 -2.212 pA	 105.6920000 nA/um	 -22.12000000 fA/um	 -112.0000000 nS	 -1.120000000 nS/um
76	 -1.2500 V	 0 V	 5.0000 V	 0 V	 10.5644 uA	 -2.210 pA	 105.6440000 nA/um	 -22.10000000 fA/um	 -41.00000000 nS	 -410.0000000 pS/um
77	 -1.2000 V	 0 V	 5.0000 V	 0 V	 10.5651 uA	 -2.064 pA	 105.6510000 nA/um	 -20.64000000 fA/um	 13.00000000 nS	 130.0000000 pS/um
