Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
80	 2.0000 V	 0 V	 395.0 mV	 0 V	 10.03610 mA	 1.003610000 mA/um
81	 2.0000 V	 0 V	 400.0 mV	 0 V	 10.39150 mA	 1.039150000 mA/um
82	 2.0000 V	 0 V	 405.0 mV	 0 V	 10.37840 mA	 1.037840000 mA/um
83	 2.0000 V	 0 V	 410.0 mV	 0 V	 10.29630 mA	 1.029630000 mA/um
84	 2.0000 V	 0 V	 415.0 mV	 0 V	 10.68730 mA	 1.068730000 mA/um
85	 2.0000 V	 0 V	 420.0 mV	 0 V	 10.67520 mA	 1.067520000 mA/um
86	 2.0000 V	 0 V	 425.0 mV	 0 V	 10.58040 mA	 1.058040000 mA/um
87	 2.0000 V	 0 V	 430.0 mV	 0 V	 10.86190 mA	 1.086190000 mA/um
88	 2.0000 V	 0 V	 435.0 mV	 0 V	 11.03820 mA	 1.103820000 mA/um
89	 2.0000 V	 0 V	 440.0 mV	 0 V	 11.02630 mA	 1.102630000 mA/um
90	 2.0000 V	 0 V	 445.0 mV	 0 V	 10.95440 mA	 1.095440000 mA/um
91	 2.0000 V	 0 V	 450.0 mV	 0 V	 11.17150 mA	 1.117150000 mA/um
92	 2.0000 V	 0 V	 455.0 mV	 0 V	 11.42630 mA	 1.142630000 mA/um
93	 2.0000 V	 0 V	 460.0 mV	 0 V	 11.44260 mA	 1.144260000 mA/um
94	 2.0000 V	 0 V	 465.0 mV	 0 V	 11.32590 mA	 1.132590000 mA/um
95	 2.0000 V	 0 V	 470.0 mV	 0 V	 11.6050 mA	 1.160500000 mA/um
96	 2.0000 V	 0 V	 475.0 mV	 0 V	 11.7650 mA	 1.176500000 mA/um
97	 2.0000 V	 0 V	 480.0 mV	 0 V	 11.6980 mA	 1.169800000 mA/um
98	 2.0000 V	 0 V	 485.0 mV	 0 V	 11.7290 mA	 1.172900000 mA/um
99	 2.0000 V	 0 V	 490.0 mV	 0 V	 12.0650 mA	 1.206500000 mA/um
100	 2.0000 V	 0 V	 495.0 mV	 0 V	 12.0770 mA	 1.207700000 mA/um
101	 2.0000 V	 0 V	 500.0 mV	 0 V	 11.9540 mA	 1.195400000 mA/um
102	 2.0000 V	 0 V	 505.0 mV	 0 V	 12.1360 mA	 1.213600000 mA/um
