Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
191	 2.0000 V	 0 V	 950.0 mV	 0 V	 132.810 uA	 13.28100000 uA/um
192	 2.0000 V	 0 V	 955.0 mV	 0 V	 130.230 uA	 13.02300000 uA/um
193	 2.0000 V	 0 V	 960.0 mV	 0 V	 150.120 uA	 15.01200000 uA/um
194	 2.0000 V	 0 V	 965.0 mV	 0 V	 138.420 uA	 13.84200000 uA/um
195	 2.0000 V	 0 V	 970.0 mV	 0 V	 125.320 uA	 12.53200000 uA/um
196	 2.0000 V	 0 V	 975.0 mV	 0 V	 149.640 uA	 14.96400000 uA/um
197	 2.0000 V	 0 V	 980.0 mV	 0 V	 147.150 uA	 14.71500000 uA/um
198	 2.0000 V	 0 V	 985.0 mV	 0 V	 127.610 uA	 12.76100000 uA/um
199	 2.0000 V	 0 V	 990.0 mV	 0 V	 130.250 uA	 13.02500000 uA/um
200	 2.0000 V	 0 V	 995.0 mV	 0 V	 151.900 uA	 15.19000000 uA/um
201	 2.0000 V	 0 V	 1.0000 V	 0 V	 148.980 uA	 14.89800000 uA/um
202	 2.0000 V	 0 V	 1.0050 V	 0 V	 129.730 uA	 12.97300000 uA/um
203	 2.0000 V	 0 V	 1.0100 V	 0 V	 127.700 uA	 12.77000000 uA/um
204	 2.0000 V	 0 V	 1.0150 V	 0 V	 146.490 uA	 14.64900000 uA/um
205	 2.0000 V	 0 V	 1.0200 V	 0 V	 152.080 uA	 15.20800000 uA/um
206	 2.0000 V	 0 V	 1.0250 V	 0 V	 130.040 uA	 13.00400000 uA/um
207	 2.0000 V	 0 V	 1.0300 V	 0 V	 130.940 uA	 13.09400000 uA/um
208	 2.0000 V	 0 V	 1.0350 V	 0 V	 154.090 uA	 15.40900000 uA/um
209	 2.0000 V	 0 V	 1.0400 V	 0 V	 145.690 uA	 14.56900000 uA/um
210	 2.0000 V	 0 V	 1.0450 V	 0 V	 128.920 uA	 12.89200000 uA/um
211	 2.0000 V	 0 V	 1.0500 V	 0 V	 153.540 uA	 15.35400000 uA/um
212	 2.0000 V	 0 V	 1.0550 V	 0 V	 150.850 uA	 15.08500000 uA/um
213	 2.0000 V	 0 V	 1.0600 V	 0 V	 131.710 uA	 13.17100000 uA/um
214	 2.0000 V	 0 V	 1.0650 V	 0 V	 140.750 uA	 14.07500000 uA/um
215	 2.0000 V	 0 V	 1.0700 V	 0 V	 156.570 uA	 15.65700000 uA/um
216	 2.0000 V	 0 V	 1.0750 V	 0 V	 145.450 uA	 14.54500000 uA/um
217	 2.0000 V	 0 V	 1.0800 V	 0 V	 132.520 uA	 13.25200000 uA/um
218	 2.0000 V	 0 V	 1.0850 V	 0 V	 140.560 uA	 14.05600000 uA/um
219	 2.0000 V	 0 V	 1.0900 V	 0 V	 158.850 uA	 15.88500000 uA/um
220	 2.0000 V	 0 V	 1.0950 V	 0 V	 145.000 uA	 14.50000000 uA/um
221	 2.0000 V	 0 V	 1.1000 V	 0 V	 133.360 uA	 13.33600000 uA/um
222	 2.0000 V	 0 V	 1.1050 V	 0 V	 144.430 uA	 14.44300000 uA/um
223	 2.0000 V	 0 V	 1.1100 V	 0 V	 158.590 uA	 15.85900000 uA/um
224	 2.0000 V	 0 V	 1.1150 V	 0 V	 144.720 uA	 14.47200000 uA/um
225	 2.0000 V	 0 V	 1.1200 V	 0 V	 134.670 uA	 13.46700000 uA/um
226	 2.0000 V	 0 V	 1.1250 V	 0 V	 156.440 uA	 15.64400000 uA/um
227	 2.0000 V	 0 V	 1.1300 V	 0 V	 157.930 uA	 15.79300000 uA/um
228	 2.0000 V	 0 V	 1.1350 V	 0 V	 143.420 uA	 14.34200000 uA/um
229	 2.0000 V	 0 V	 1.1400 V	 0 V	 138.620 uA	 13.86200000 uA/um
230	 2.0000 V	 0 V	 1.1450 V	 0 V	 156.210 uA	 15.62100000 uA/um
231	 2.0000 V	 0 V	 1.1500 V	 0 V	 162.300 uA	 16.23000000 uA/um
232	 2.0000 V	 0 V	 1.1550 V	 0 V	 147.990 uA	 14.79900000 uA/um
233	 2.0000 V	 0 V	 1.1600 V	 0 V	 136.800 uA	 13.68000000 uA/um
234	 2.0000 V	 0 V	 1.1650 V	 0 V	 160.830 uA	 16.08300000 uA/um
235	 2.0000 V	 0 V	 1.1700 V	 0 V	 156.390 uA	 15.63900000 uA/um
236	 2.0000 V	 0 V	 1.1750 V	 0 V	 140.600 uA	 14.06000000 uA/um
237	 2.0000 V	 0 V	 1.1800 V	 0 V	 154.310 uA	 15.43100000 uA/um
238	 2.0000 V	 0 V	 1.1850 V	 0 V	 163.680 uA	 16.36800000 uA/um
239	 2.0000 V	 0 V	 1.1900 V	 0 V	 152.980 uA	 15.29800000 uA/um
240	 2.0000 V	 0 V	 1.1950 V	 0 V	 140.810 uA	 14.08100000 uA/um
241	 2.0000 V	 0 V	 1.2000 V	 0 V	 161.540 uA	 16.15400000 uA/um
242	 2.0000 V	 0 V	 1.2050 V	 0 V	 161.110 uA	 16.11100000 uA/um
243	 2.0000 V	 0 V	 1.2100 V	 0 V	 144.560 uA	 14.45600000 uA/um
244	 2.0000 V	 0 V	 1.2150 V	 0 V	 161.530 uA	 16.15300000 uA/um
245	 2.0000 V	 0 V	 1.2200 V	 0 V	 163.350 uA	 16.33500000 uA/um
246	 2.0000 V	 0 V	 1.2250 V	 0 V	 152.040 uA	 15.20400000 uA/um
247	 2.0000 V	 0 V	 1.2300 V	 0 V	 144.980 uA	 14.49800000 uA/um
248	 2.0000 V	 0 V	 1.2350 V	 0 V	 161.190 uA	 16.11900000 uA/um
249	 2.0000 V	 0 V	 1.2400 V	 0 V	 166.310 uA	 16.63100000 uA/um
250	 2.0000 V	 0 V	 1.2450 V	 0 V	 154.290 uA	 15.42900000 uA/um
251	 2.0000 V	 0 V	 1.2500 V	 0 V	 148.700 uA	 14.87000000 uA/um
252	 2.0000 V	 0 V	 1.2550 V	 0 V	 165.690 uA	 16.56900000 uA/um
253	 2.0000 V	 0 V	 1.2600 V	 0 V	 166.900 uA	 16.69000000 uA/um
254	 2.0000 V	 0 V	 1.2650 V	 0 V	 147.250 uA	 14.72500000 uA/um
255	 2.0000 V	 0 V	 1.2700 V	 0 V	 160.020 uA	 16.00200000 uA/um
256	 2.0000 V	 0 V	 1.2750 V	 0 V	 169.130 uA	 16.91300000 uA/um
257	 2.0000 V	 0 V	 1.2800 V	 0 V	 154.800 uA	 15.48000000 uA/um
258	 2.0000 V	 0 V	 1.2850 V	 0 V	 155.010 uA	 15.50100000 uA/um
259	 2.0000 V	 0 V	 1.2900 V	 0 V	 169.870 uA	 16.98700000 uA/um
260	 2.0000 V	 0 V	 1.2950 V	 0 V	 160.720 uA	 16.07200000 uA/um
261	 2.0000 V	 0 V	 1.3000 V	 0 V	 153.630 uA	 15.36300000 uA/um
262	 2.0000 V	 0 V	 1.3050 V	 0 V	 167.250 uA	 16.72500000 uA/um
263	 2.0000 V	 0 V	 1.3100 V	 0 V	 169.930 uA	 16.99300000 uA/um
264	 2.0000 V	 0 V	 1.3150 V	 0 V	 154.930 uA	 15.49300000 uA/um
265	 2.0000 V	 0 V	 1.3200 V	 0 V	 156.800 uA	 15.68000000 uA/um
266	 2.0000 V	 0 V	 1.3250 V	 0 V	 169.710 uA	 16.97100000 uA/um
267	 2.0000 V	 0 V	 1.3300 V	 0 V	 166.380 uA	 16.63800000 uA/um
268	 2.0000 V	 0 V	 1.3350 V	 0 V	 153.480 uA	 15.34800000 uA/um
269	 2.0000 V	 0 V	 1.3400 V	 0 V	 159.910 uA	 15.99100000 uA/um
270	 2.0000 V	 0 V	 1.3450 V	 0 V	 173.460 uA	 17.34600000 uA/um
271	 2.0000 V	 0 V	 1.3500 V	 0 V	 165.830 uA	 16.58300000 uA/um
272	 2.0000 V	 0 V	 1.3550 V	 0 V	 157.800 uA	 15.78000000 uA/um
273	 2.0000 V	 0 V	 1.3600 V	 0 V	 170.800 uA	 17.08000000 uA/um
274	 2.0000 V	 0 V	 1.3650 V	 0 V	 171.410 uA	 17.14100000 uA/um
275	 2.0000 V	 0 V	 1.3700 V	 0 V	 159.760 uA	 15.97600000 uA/um
276	 2.0000 V	 0 V	 1.3750 V	 0 V	 160.960 uA	 16.09600000 uA/um
